name,ticker
3S,060310.KQ
AJ네트웍스,095570.KS
AK홀딩스,006840.KS
APS,054620.KQ
AP시스템,265520.KQ
AP위성,211270.KQ
BF랩스,139050.KQ
BGF,027410.KS
BGF리테일,282330.KS
BGF에코머티리얼즈,126600.KQ
BNK금융지주,138930.KS
BYC,001460.KS
BYC우,001465.KS
CG인바이츠,083790.KQ
CJ,001040.KS
CJCGV,079160.KS
CJENM,035760.KQ
CJ바이오사이언스,311690.KQ
CJ4우(전환),00104K.KS
CJ대한통운,000120.KS
CJ씨푸드,011150.KS
CJ씨푸드1우,011155.KS
CJ우,001045.KS
CJ제일제당,097950.KS
CJ제일제당우,097955.KS
CJ프레시웨이,051500.KQ
CMG제약,058820.KQ
CNT85,056730.KQ
CR홀딩스,000480.KS
CS,065770.KQ
CSA코스믹,083660.KQ
CS홀딩스,000590.KS
DB,012030.KS
DB금융스팩12호,477760.KQ
DB손해보험,005830.KS
DB증권,016610.KS
DB하이텍,000990.KS
DGI,099520.KQ
DH오토넥스,000300.KS
DH오토리드,290120.KQ
DH오토웨어,025440.KQ
DI동일,001530.KS
DKME,015590.KS
DL,000210.KS
DL우,000215.KS
DL이앤씨,375500.KS
DL이앤씨2우(전환),37550L.KS
DL이앤씨우,37550K.KS
DMS,068790.KQ
DN오토모티브,007340.KS
DRB동일,004840.KS
DSC인베스트먼트,241520.KQ
DSR,155660.KS
DSR제강,069730.KS
DS단석,017860.KS
DXVX,180400.KQ
DYP,092780.KS
E1,017940.KS
E8,418620.KQ
EDGC,245620.KQ
EG,037370.KQ
EMB,278990.KS
ESR켄달스퀘어리츠,365550.KS
ES큐브,050120.KQ
F&F,383220.KS
F&F홀딩스,007700.KS
FSN,214270.KQ
GH신소재,130500.KQ
GKL,114090.KS
GRT,900290.KQ
GS,078930.KS
GST,083450.KQ
GS건설,006360.KS
GS글로벌,001250.KS
GS리테일,007070.KS
GS우,078935.KS
GS피앤엘,499790.KS
HB솔루션,297890.KQ
HB인베스트먼트,440290.KQ
HB테크놀러지,078150.KQ
HC보광산업,225530.KQ
HC홈센타,060560.KQ
HDC,012630.KS
HDC랩스,039570.KS
HDC현대EP,089470.KS
HDC현대산업개발,294870.KS
HD건설기계,267270.KS
HD한국조선해양,009540.KS
HD현대,267250.KS
HD현대마린솔루션,443060.KS
HD현대마린엔진,071970.KS
HD현대에너지솔루션,322000.KS
HD현대일렉트릭,267260.KS
HD현대중공업,329180.KS
HEM파마,376270.KQ
HJ중공업,097230.KS
HK이노엔,195940.KQ
HLD&I,014790.KS
HLB,028300.KQ
HLB글로벌,003580.KS
HLB바이오스텝,278650.KQ
HLB생명과학,067630.KQ
HLB이노베이션,024850.KQ
HLB제넥스,187420.KQ
HLB제약,047920.KQ
HLB테라퓨틱스,115450.KQ
HLB파나진,046210.KQ
HLB펩,196300.KQ
HL만도,204320.KS
HL홀딩스,060980.KS
HMM,011200.KS
HPSP,403870.KQ
HRS,036640.KQ
HS애드,035000.KS
HS화성,002460.KS
HS효성,487570.KS
HS효성첨단소재,298050.KS
IBKS제23호스팩,467930.KQ
IBKS제24호스팩,469480.KQ
IBKS제25호스팩,0099X0.KQ
INVENI,015360.KS
ISC,095340.KQ
JB금융지주,175330.KS
JTC,950170.KQ
JW생명과학,234080.KS
JW신약,067290.KQ
JW중외제약,001060.KS
JW중외제약2우B,001067.KS
JW중외제약우,001065.KS
JW홀딩스,096760.KS
JYPENT.,035900.KQ
KBG,318000.KQ
KBI동양철관,008970.KS
KBI메탈,024840.KQ
KB금융,105560.KS
KB발해인프라,415640.KS
KB스타리츠,432320.KS
KB오토시스,024120.KQ
KB제27호스팩,464680.KQ
KB제29호스팩,478390.KQ
KB제30호스팩,486630.KQ
KB제31호스팩,492220.KQ
KB제32호스팩,0037T0.KQ
KB제33호스팩,0072Z0.KQ
KCC,002380.KS
KCC건설,021320.KQ
KCC글라스,344820.KS
KCTC,009070.KS
KC그린홀딩스,009440.KS
KC산업,112190.KS
KC코트렐,119650.KS
KD,044180.KQ
KEC,092220.KS
KG모빌리언스,046440.KQ
KG모빌리티,003620.KS
KG스틸,016380.KS
KG에코솔루션,151860.KQ
KG이니시스,035600.KQ
KG케미칼,001390.KS
KH바텍,060720.KQ
KISCO홀딩스,001940.KS
KNN,058400.KQ
KPX케미칼,025000.KS
KPX홀딩스,092230.KS
KR모터스,000040.KS
KSS해운,044450.KS
KS인더스트리,101000.KQ
KT,030200.KS
KT&G,033780.KS
KTCS,058850.KS
KTIS,058860.KS
KT나스미디어,089600.KQ
KT밀리의서재,418470.KQ
KT지니뮤직,043610.KQ
KX,122450.KQ
KX하이텍,052900.KQ
